name,x,y,z
Ralph Abraham,-1.49854156956,-0.122629685612,r
Alma Adams,-0.221606177575,-0.868179413118,b
Robert B. Aderholt,-1.55960701544,-0.123245901176,r
Pete Aguilar,1.8122776389,-1.06114694783,b
Rick Allen,-1.56120041624,-0.10675989118,r
Justin Amash,2.66917902555,3.36304931588,r
Mark Amodei,-1.55960701544,-0.123245901176,r
Jodey Arrington,-1.55960701544,-0.123245901176,r
Brian Babin,0.37499785409,-0.115624076987,r
Don Bacon,-1.55960701544,-0.123245901176,r
Jim Banks,-1.55960701544,-0.123245901176,r
Lou Barletta,-1.55960701544,-0.123245901176,r
Andy Barr,0.47427680104,-0.316213435886,r
Nanette Barragán,1.94225377092,1.30261725291,b
Joe L. Barton,-1.56295618516,-0.0420611754764,r
Karen Bass,2.03313050661,2.66677657275,b
Joyce Beatty,-2.1562110471,-0.875801237307,b
Ami Bera,1.8122776389,-1.06114694783,b
Jack Bergman,2.40888167057,-0.308591611697,r
Donald Beyer,1.8122776389,-1.06114694783,b
Andy Biggs,2.49975840626,1.05556770814,r
Gus Bilirakis,-1.55960701544,-0.123245901176,r
Sanford D. Bishop Jr.,1.10453091242,-1.50356244212,b
Mike Bishop,2.40888167057,-0.308591611697,r
Rob Bishop,-1.55960701544,-0.123245901176,r
Diane Black,0.392575294664,-0.366424805381,r
Marsha Blackburn,1.48600014628,0.504664799045,r
Rod Blum,1.48600014628,0.504664799045,r
Earl Blumenauer,-2.08730036095,1.48734674787,b
Lisa Blunt Rochester,-0.122327230625,-1.06876877202,b
Suzanne Bonamici,-2.02623491508,1.48796296343,b
Mike Bost,1.39193976233,-0.212107844342,r
Brendan Boyle,2.07183334718,-1.49975153002,b
Robert A. Brady,2.07183334718,-1.49975153002,b
Kevin Brady,-0.592304580673,-0.119434989081,r
David A. Brat,-0.542665107198,-0.219729668531,r
Jim Bridenstine,0.25506824542,1.59750787573,r
Mo Brooks,-1.61785938183,-0.290525518886,r
Susan Brooks,-1.55960701544,-0.123245901176,r
Anthony Brown,-2.1562110471,-0.875801237307,b
Julia Brownley,1.8122776389,-1.06114694783,b
Vern Buchanan,-1.56318010083,-0.0916890641391,r
Ken Buck,2.40888167057,-0.308591611697,r
Larry Bucshon,-1.55960701544,-0.123245901176,r
Ted Budd,-1.55960701544,-0.123245901176,r
Michael C. Burgess,2.40888167057,-0.308591611697,r
Cheri Bustos,-1.89665533882,-1.3144058195,b
G. K. Butterfield,-2.1562110471,-0.875801237307,b
Bradley Byrne,-1.55960701544,-0.123245901176,r
Ken Calvert,-1.55960701544,-0.123245901176,r
Michael E. Capuano,1.94225377092,1.30261725291,b
Salud Carbajal,1.8122776389,-1.06114694783,b
Tony Cardenas,0.137228477658,-1.50737335421,b
