,0,1,2,3,surname,firstname,good_distance,bad_distance,good_distance_norm,bad_distance_norm,score,party,state,district
Ralph Abraham,-32.917106065,-0.798302959839,-0.165800072116,1.58165215812,abraham,ralph,69.6187323485,2.02967457709,0.971671741715,0.0283282582849,0.471671741715,R,LA,5
Alma Adams,38.3761924257,-0.173541498647,0.456597264942,-0.372068568242,adams,alma,1.82627146055,67.7313042731,0.0262555363853,0.973744463615,-0.473744463615,D,NC,12
Robert B. Aderholt,-31.1144746314,-1.75589908962,-5.03263534635,-0.588198120267,aderholt,robert,67.9098793827,1.51315594775,0.978203834786,0.0217961652144,0.478203834786,R,AL,4
Pete Aguilar,34.7338877557,-2.26466972333,-4.73922650493,8.79426645474,aguilar,pete,9.77274537616,64.4164814612,0.131727284307,0.868272715693,-0.368272715693,D,CA,31
Rick Allen,-33.6607022548,-0.155271861972,3.85065006285,3.67890465091,allen,rick,70.6321969836,5.87580163082,0.923200165509,0.0767998344909,0.423200165509,R,GA,12
Justin Amash,-23.3646423352,0.274196565899,16.0024278499,-9.30605234304,amash,justin,62.6718439,12.949714322,0.828756314648,0.171243685352,0.328756314648,R,MI,3
Mark Amodei,-29.5029441925,-0.912160082307,-7.24448102473,-1.85487379194,amodei,mark,66.4175305155,2.36785220486,0.965576229844,0.034423770156,0.465576229844,R,NV,2
Jodey Arrington,-9.12696955053,17.3825536029,3.22873949435,-0.149340464319,arrington,jodey,48.3229542226,28.0297887068,0.632890874232,0.367109125768,0.132890874232,R,TX,19
Brian Babin,-33.5002450436,-0.365016308445,6.43845280143,2.86704423903,babin,brian,70.6386355237,4.9799067523,0.934144369854,0.065855630146,0.434144369854,R,TX,36
Don Bacon,-8.49556937903,16.2107269025,1.75170307679,-1.18334363271,bacon,don,47.2307924053,28.0689156598,0.627237390674,0.372762609326,0.127237390674,R,NE,2
Jim Banks,-9.26161068773,17.6473074847,3.89865809253,0.156546937395,banks,jim,48.6082729472,28.0101991268,0.634419763686,0.365580236314,0.134419763686,R,IN,3
Lou Barletta,-28.0344689726,-2.08295543317,-7.97594934767,-2.63701332075,barletta,lou,65.1019873996,2.3693255821,0.964883956197,0.0351160438029,0.464883956197,R,PA,11
Andy Barr,-32.8944975738,-0.81721386347,-0.274993502185,2.77553262996,barr,andy,69.6698943747,1.96224346713,0.972606660554,0.0273933394457,0.472606660554,R,KY,6
Nanette Barragán,15.0074771587,-15.3600936361,6.67327436155,-3.58151200444,barragán,nanette,28.8419534046,48.9634654121,0.370693376416,0.629306623584,-0.129306623584,D,CA,44
Joe L. Barton,-32.3743275513,-0.326648556916,0.838234861583,1.42122155438,barton,joe,69.0673267581,2.09072322847,0.970618598614,0.0293814013855,0.470618598614,R,TX,6
